Event_Type,Score_Differential,Time_of_Event,Home_Away,Possession_Pre_Event,Shots_Pre_Event,Passes_Completed_Pre_Event,Opponent_Strength,Fatigue_Index,Crowd_Influence,Key_Player_Involved,Tactical_Shift,Momentum_Swing,Recent_Form,Event_Severity,Sub_Impact,Pressure_Index,Recovery_Probability
Yellow_Card_Own,0,30.108186538854405,0,57.15247550178938,1,48,0.7894621809187599,0.34569173602656134,0.4187233610709124,1,1,-10.92636312764397,0.8030060825373306,0.8581097224833172,0.4879175795984155,0.3448274491590571,0
Crucial_Save,3,29.948676389595196,1,47.474564417882924,6,56,0.6679342942204456,0.3190400170042804,0.3071979231987223,0,0,6.746218492489245,0.5900610345841326,0.5369370040028869,0.36008235546660233,0.32272621346359165,1
Sub_In,-1,38.60912141770434,1,54.02987277775224,0,55,0.5302690304902514,0.6637010559868701,0.39888904424051697,0,0,5.332824765783053,0.4939342965621619,0.5550909555896406,0.1951694465092206,0.5939231156967678,0
Yellow_Card_Opp,3,13.143597220185958,0,73.96036454110418,4,70,0.6120304934213063,0.48694420300415364,0.7707585016367662,1,1,1.6343500685621155,0.5927651273552306,0.6391112507965899,0.558294650640825,0.43239331859314767,1
Goal_Conceded,0,78.36074597788395,0,78.19553441395661,4,60,0.6952612633833578,0.5661119282854971,0.6099913033283174,1,1,-9.586168577482866,0.7132821984423094,0.6765513578100093,0.357385212259612,1.0,0
Goal_Conceded,2,23.150675452548985,1,58.06718838533618,5,63,0.45493253635862924,0.7911882213604773,0.20454146047708519,0,0,-11.64866330117226,0.5080204300354774,0.6724444803282716,0.04142383410162814,0.7681153988946612,0
Goal_Scored,-2,79.94349613223645,1,65.8433353911463,4,58,0.9745656898770125,0.44886485141688126,0.35150484427047424,1,1,7.356949413320098,0.5485692448340438,0.22759977792883515,0.6430287862884619,0.5280788820681362,1
Sub_Out,2,18.396151538535406,1,25.028506009229858,3,63,0.7993372937272727,0.485191486040948,0.20621692824666743,0,1,12.396435176245195,0.6377038902052419,0.8550739463183623,0.5374015055408243,0.3320482856143329,0
Yellow_Card_Opp,3,90.01497474618895,0,29.642935093490337,3,49,0.4615209887726176,0.8072017110352003,0.6289210992612085,1,0,18.988152801420824,0.47640555829641007,0.3558822552598704,0.40936360337787714,0.42771053669046233,1
Sub_In,-2,51.80222817153192,1,63.9922882971786,4,73,0.8937173105970757,0.5956573640061025,0.48165308123328704,1,1,-2.422457902585763,0.4254507957266651,0.43387370222708865,0.3057778620980308,0.7841755398291776,0
Goal_Scored,-3,50.55004064383456,0,45.881927383280114,3,59,0.5935329585676873,0.7965991002314926,0.7964112150886338,1,0,3.111272801741201,0.3842353703179572,0.33874361601654035,0.6719297886291835,0.9931154253358836,1
Missed_Chance,1,63.28453971571091,0,46.75791622426434,5,66,0.7580797220279103,0.5246856020797899,0.6401499566135951,1,0,-7.325945900973165,0.5115659898756446,0.8136613260287022,0.5425144019857809,0.5285222835697075,0
Sub_Out,2,88.99402578894305,1,38.5164608981262,2,46,0.566285704947744,0.5390219884962651,0.5107477656247292,0,1,3.5665726230118895,0.3290057438628342,0.6669263941003356,0.3744951471007855,0.8613974008757754,0
Goal_Conceded,0,37.36646737177716,0,56.44138300866463,5,64,0.8400435669487643,0.40028301706695374,0.6828232569248811,0,1,-11.986297819990448,0.650089516025701,0.804236922201641,0.4572077266287202,0.9069675441191298,0
Goal_Conceded,-3,57.30648982991999,0,31.109902724972155,1,81,0.8338053850000614,0.8498075121569799,0.6228821907404457,1,0,-19.396119052813162,0.4055456195985147,0.7227187243434403,0.19652528121085938,0.33372661051093394,0
Goal_Conceded,1,95.0,1,57.614976758833734,1,63,0.7312260741234509,0.8380702164075657,0.3462657065815923,0,0,-9.733654778007736,0.5264368753980257,0.28332690753552153,0.13700115992421935,1.0,0
Red_Card_Own,0,42.12961349653288,1,30.42793142811438,3,51,0.5445553554829469,0.8905302087388642,0.51815496489651,0,1,-9.914200634123404,0.46153368923902355,0.44119982068080427,0.191323683112855,0.6263418930589681,0
Yellow_Card_Opp,-1,68.62173043406419,0,23.829562082582814,3,61,0.5522222845072873,0.5414682763018269,0.5335992349004426,0,0,11.511782902000531,0.6782339798050496,0.6058121276720971,0.20519526949790873,0.9749695445760174,0
Yellow_Card_Own,0,42.65492772957052,1,39.82146132194366,3,57,0.6297176780169658,0.7911689650551854,0.47073901916468214,1,1,7.791892588436346,0.8102073968801198,0.4439560251450909,0.5178169154470975,0.6769890792171811,0
Red_Card_Own,-2,45.80321421768746,0,33.86842052059086,3,61,0.4870073004377712,0.5489722390032712,0.3075155737132172,1,1,-17.83742654370132,0.679980625793007,0.3658431235248932,0.09804272850346277,0.4646004569290535,0
Yellow_Card_Opp,-2,57.525053005613735,1,73.33949831337995,1,52,0.6025934279145542,0.5725792733525836,0.33402143099473225,0,0,-1.4866066030488039,0.6255029572040363,0.8958495752532798,0.5443110412023752,0.9822678151853395,0
Goal_Conceded,-1,68.21623065831749,1,23.297207232117596,4,59,0.8106127607489875,0.7979996361568948,0.368628440573577,0,1,-13.806672898422505,0.7014502435932253,0.7982269401723008,0.36637671935284866,0.4703134398811768,0
Red_Card_Own,-3,27.026140895850432,1,30.59682155444737,7,64,0.8985071680356528,0.4064200625318398,0.20615308962689827,0,1,-22.68355568989189,0.3179943826561199,0.4761760484433413,0.26920117306376123,0.9177347593182525,0
Yellow_Card_Own,1,77.06256510301088,1,52.92317633498297,2,49,0.5995493742960168,0.4321865606770514,0.7501663353017056,0,0,-9.053617628988349,0.37370679657727185,0.8120098901031187,0.21027727671558205,0.7211899463029849,0
Yellow_Card_Own,0,95.0,0,48.864031450848415,1,55,0.5401541549526184,0.488836944237489,0.6116575949500874,1,1,-10.579284764896911,0.35695634158262657,0.7020308947561824,0.35924042318272864,1.0,0
Sub_Out,-2,64.22856564443573,1,22.75112110248209,4,52,0.8995855470010806,0.7729074195000345,0.6137703894706825,0,0,2.615213909970587,0.3589182994492704,0.2030285869059174,0.2222629238410346,0.5879041262203357,0
